source_kind,source_name,source_path,unit_kind,container_name,sheet_name,slide_number,paragraph_index,table_index,row_index,column_index,cell_label,text,style_json,notes,host_name,host_since
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,14,,,"513664,Cozy and Convenient in Donelson!,2530554,Lori,6/3/12,f,1,t,t,1,District 14,36.15606,-86.64991,0,2,Private room,4,1 bath,NA,NA,,27,0.2,4.7,4.62,4.58,4.88,4.85,4.52,4.65","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,15,,,"632636,Admire Skyline from the Rooftop Terrace Chic Suite,1684051,Rick,2/1/12,t,7,t,t,7,District 19,36.1723,-86.7925,47,2,Entire home/apt,2,1.5 baths,1,1,$178.00 ,437,3.02,4.97,4.97,4.95,4.99,4.98,4.77,4.93","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,16,,,"637425,Art room French Flair,2427763,Dody &Rodney,5/21/12,t,2,t,t,2,District 6,36.19236,-86.743,364,1,Private room,2,1 bath,1,1,$133.00 ,179,1.24,4.83,4.92,4.94,4.91,4.87,4.8,4.73","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,17,,,"645985,Serenity Haven,1515903,Karen,12/18/11,t,2,t,t,2,District 6,36.18523,-86.71385,220,30,Private room,1,1 bath,1,2,$32.00 ,57,0.4,4.87,4.85,4.85,4.8,4.87,4.73,4.8","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,18,,,"648088,Heart of Music Row Private Suite Midtown Nashville,3250769,Robyn,8/13/12,f,1,t,t,1,District 19,36.1447,-86.79014,169,2,Private room,2,1 bath,1,2,$125.00 ,444,3.1,4.87,4.89,4.88,4.96,4.92,4.88,4.87","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,19,,,"674159,A Clean, Quiet Suite in a Great Neighborhood,3422455,John,8/30/12,t,2,t,t,2,District 6,36.17393,-86.73894,237,3,Entire home/apt,2,1 bath,1,1,$142.00 ,334,2.39,4.93,4.92,4.96,4.94,4.95,4.88,4.9","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,20,,,"681880,Luxurious Cozy Guesthouse,3471162,Tiffany,9/4/12,t,1,t,t,1,District 7,36.21536,-86.71024,143,1,Entire home/apt,2,1 bath,1,1,$96.00 ,752,5.27,4.96,4.97,4.98,4.97,4.98,4.86,4.93","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,21,,,"859206,Private Entrance Suite Vandy/Belmnt,1924504,Anne,3/14/12,f,1,t,t,1,District 18,36.12999,-86.79959,0,2,Private room,2,1 bath,1,NA,,128,0.92,4.81,4.87,4.89,4.98,4.97,4.92,4.87","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,22,,,"914787,Walk to Downtown -Pool, Free Parking, Gym + 4 Beds,4910520,Amy,1/30/13,,15,t,t,25,District 19,36.17539978,-86.7818985,346,1,Entire home/apt,6,1 bath,1,4,$243.00 ,419,3.05,4.75,4.79,4.8,4.91,4.94,4.67,4.68","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,23,,,"980344,Downstairs/Midweek only Designer Home n Music City,441439,Angela,3/14/11,f,3,t,t,4,District 24,36.14462,-86.82847,82,2,Private room,2,1 bath,1,1,$250.00 ,0,NA,NA,NA,NA,NA,NA,NA,NA","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,24,,,"1006989,Private Carriage House,1896384,John And Mike,3/10/12,t,1,t,t,1,District 6,36.17502,-86.73475,82,2,Entire home/apt,3,1 bath,1,1,$88.00 ,609,4.46,4.98,4.98,5,5,4.99,4.94,4.96","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,25,,,"1009550,The Fab GuesT QuarTers Suite,5554006,Jacque,3/20/13,t,1,t,t,1,District 7,36.21239,-86.70439,58,3,Entire home/apt,4,1 bath,2,3,$114.00 ,267,1.96,4.95,4.95,4.93,4.98,5,4.93,4.95","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,26,,,"1209395,Music Row Midtown Apartment,6604593,Michael,5/27/13,t,1,t,t,1,District 19,36.14867,-86.79611,305,3,Entire home/apt,2,1 bath,1,1,$118.00 ,238,1.84,4.87,4.84,4.8,4.97,4.95,4.92,4.78","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,27,,,"1300670,Valentino's Retreat,119023,Dana,5/5/10,t,1,t,t,1,District 10,36.32249,-86.72652,322,2,Entire home/apt,4,1 bath,1,6,$139.00 ,152,1.14,4.99,4.97,4.97,5,4.97,4.99,4.95","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,28,,,"1537921,Truly Central Private Cottage,113637,Cynthia,4/25/10,t,1,t,f,1,District 6,36.1676177978516,-86.73709869,224,2,Entire home/apt,2,1 bath,1,1,$146.00 ,312,2.37,4.92,4.98,4.97,4.96,4.96,4.84,4.88","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,29,,,"1546787,Cozy Guesthouse in 12S Neighborhood,6855810,UrbanNashville,6/11/13,t,113,t,t,189,District 18,36.1299171447754,-86.79246521,163,2,Entire home/apt,4,1 bath,0,2,$90.00 ,513,4.07,4.88,4.92,4.87,4.94,4.92,4.94,4.83","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,30,,,"1550764,Private Entry Studio! Wet Bar,King,Bath,5 mins DT!,1684051,Rick,2/1/12,t,7,t,t,7,District 19,36.17231,-86.79252,36,2,Entire home/apt,2,1 bath,1,1,$123.00 ,837,6.35,4.91,4.96,4.97,4.96,4.95,4.81,4.9","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,31,,,"1557535,ULITIMATE GIRLS WEEKEND!!! 10 MIN. TO DOWNTOWN!!!!,8291189,John,8/20/13,f,1,t,t,1,District 7,36.22621,-86.7103,308,3,Entire home/apt,12,2.5 baths,4,8,$636.00 ,87,0.68,4.98,4.97,4.98,5,4.99,5,4.93","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,32,,,"1583339,Heart of Historic East Nashville, Walk Everywhere!,1567001,Amy,1/4/12,t,4,t,t,11,District 6,36.17833,-86.74426,357,2,Entire home/apt,6,2.5 baths,3,NA,,79,0.6,4.89,4.77,4.6,4.99,4.96,4.91,4.73","{""delimiter"": "","", ""fields"": 30}",,,
